Institution_Name,Contact_Id,Parent_Institution_Id,Mobile_Number_1,Mobile_Number_2,Email_Id_1,Email_Id_2,Adddress_1,Address_2,Address_3,City,State,Country,Postal_Code
Sri Sai Education College  Chandrapur,227846,527839,,,,,,,,,Maharashtra,India,
Sahyadri Shaikshan Seva Mandals College of Arts and Commerce at Juchandra Tal Vasai Dist Thane 401 202,227847,527840,,,,,,,,,Maharashtra,India,
Thakur Education Trusts Thakur Ramnarayan College of Law Shyamnarayan Thakur Marg Thakur Village Kandivli(East) Mumbai-400 101,227848,527841,,,,,,,,,Maharashtra,India,
S.S. Patil College of Agriculture Business Management,227849,527842,,,,,,,,,Maharashtra,India,
Vishweshwar Education Societys Indra Institute of Business Management At Plot no.2 Sector 9 Sanpada Navi Mumbai-400 705,227850,527843,,,,,,,,,Maharashtra,India,
Mahatama Gandhi Vidyamandirs Guruwarya Dodhu Anandbuwa Kala and Wanijya Mahavidyalaya Malegaon City  Dist.Nashik 423203,227851,527844,,,,,,,,,Maharashtra,India,
Dr. Babasaheb Ambedkar Arts Commerce Science College,227852,527845,,,,,,,,,Maharashtra,India,
SHRIRAM EDUCATION SOCIETY`S SAU VENUTAI CHAUHAN PHARMACY COLLEGE PHALTAN,227853,527846,,,,,,,,,Maharashtra,India,
Devikamal Arts College  Wadsa,227854,527847,,,,,,,,,Maharashtra,India,
Dnyanyog Shikshan Sanstha Jalna's College of Physical Education  Bhokardan.,227855,527848,,,,,,,,,Maharashtra,India,
Chimur Science and Commerce College  Chimur,227856,527849,,,,,,,,,Maharashtra,India,
M.G.M's Jawaharlal Nehru College of Engineering  N-6  Cidco.,227857,527850,,,,,,,,,Maharashtra,India,
Pradnya Karuna Bahudeshiya Shiksan Sansthas Samayak Sanklpa College of Architecture Sai Ganesh Chhaya 2nd Floor Near Jarimari Temple Tisgaon Kalyan E Dist Thane.,227858,527851,,,,,,,,,Maharashtra,India,
Fairyland College of Science Commerce Management  Bhadrawati,227859,527852,,,,,,,,,Maharashtra,India,
Amro College of Hotel Management  B.Sc. H.S.Rajur Bahula  CIDCO  Nashik 422010,227860,527853,,,,,,,,,Maharashtra,India,
Sant Dnyaneshwar BCA College Bhalerav Complex  Vasmat Road  Parbhani,227861,527854,,,,,,,,,Maharashtra,India,
100062-K.A.K.P. SANSHTA'S COMMERCE and SCIENCE COLLEGE  JALGAON,227862,527855,,,,,,,,,Maharashtra,India,
Arts and Commerce College  Boriarab  Tq. Darwha.,227863,527856,,,,,,,,,Maharashtra,India,
Vidyaniketan College,227864,527857,,,,,,,,,Maharashtra,India,
YASHODEEP SHIKSHAN PRASRAK MANDAL D. ED. COLLEGE CHAMORSHI GADCHIROLI,227865,527858,,,,,,,,,Maharashtra,India,
Jai Bhavani Shikshan Prasarak Mandal's College of Arts  Patoda.,227866,527859,,,,,,,,,Maharashtra,India,
Institute of Nursing Education  J.J. Group of Hospital  Mumbai (P.C.B.Sc),227867,527860,,,,,,,,,Maharashtra,India,
KISAN DNANODAYA MANDAL'S INSTITUTE OF PHARMACY CHALISGAON JALGAON,227868,527861,,,,,,,,,Maharashtra,India,
Maharashtra Institute of Nursing Sciences (B.Sc.) Vishwanathpuram  Latur,227869,527862,,,,,,,,,Maharashtra,India,
Jagat Prakash B Ed College  Siddartha Nagar,227870,527863,,,,,,,,,Maharashtra,India,
Sri Sant Gadge Maharaj College  Hingna,227871,527864,,,,,,,,,Maharashtra,India,
Dr. Shankarrao chavan Govt Medical College  Vazirabad  Nanded,227872,527865,,,,,,,,,Maharashtra,India,
BHARTI SHIKSHAN PRASARAK MANDAL MOUDA NAGPUR,227873,527866,,,,,,,,,Maharashtra,India,
Maharashtra Mandal's Chandrashekar Agashe College of Physical Education  Gultekdi  Pune 37,227874,527867,,,,,,,,,Maharashtra,India,
Teachers College  Charmoshi,227875,527868,,,,,,,,,Maharashtra,India,
Shetkari Shikshan Prasarak Mandal's Babasaheb Paranjape College of Education  Ashti.,227876,527869,,,,,,,,,Maharashtra,India,
Rajmata Jijau Shikshan Prasarak Mandals Institute of Computer and Management Research  Moshi  Alandi Road  Dudulgaon   Pune,227877,527870,,,,,,,,,Maharashtra,India,
ANANT SHIKSHAN SANSTHAKUNDALIKRAO NAGARE ADHYPAK VIDALAYA D. ED TQ. RISOD WASHIM,227878,527871,,,,,,,,,Maharashtra,India,
SMRITI JR. COLLEGE OF EDUCATION SATARA SATARA SATARA,227879,527872,,,,,,,,,Maharashtra,India,
Smt. Sushila Devi Deshmukh College  Nitur  Tq. Nilanga,227880,527873,,,,,,,,,Maharashtra,India,
College of Pharmacy Hanuman Nagar  Malkapur.,227881,527874,,,,,,,,,Maharashtra,India,
K.P.MANGALVEDHEKAR INSTITUTE OF MANGEMENT DEVELOPMENT and RECERCH SOLAPUR DIST-SOLAPUR,227882,527875,,,,,,,,,Maharashtra,India,
230033-PSGVPM'S SCIENCE COMMERCE and S.I.PATIL ARTS COLLEGE  SHAHADA.,227883,527876,,,,,,,,,Maharashtra,India,
S. R. Chunawale Ayurved Mahavidyalaya  Chikhali,227884,527877,,,,,,,,,Maharashtra,India,
Vedanta Foundation Opp. Niranjan Building Corner of E Rd Marine Drive Mumbai 400 002,227885,527878,,,,,,,,,Maharashtra,India,
Gopikabai Bhure Women's Arts College  Tumsar,227886,527879,,,,,,,,,Maharashtra,India,
Dattajirao Kadam Arts  Science and Commerce College  ICHALKARANJI,227887,527880,,,,,,,,,Maharashtra,India,
Bharateeya Jain Sanghatanas Arts  Science and Commerce College  Pune,227888,527881,,,,,,,,,Maharashtra,India,
Ushatai Dhondge College of Journalisam  Kalamandir  Nanded,227889,527882,,,,,,,,,Maharashtra,India,
Raisoni College of Engineering and Management  Chas  Ahmednagar 414008,227890,527883,,,,,,,,,Maharashtra,India,
Dr Ambedkar College of Law Tilak Road Opp B E S T Depot Mumbai 400 031,227891,527884,,,,,,,,,Maharashtra,India,
Indian Youth Welfare Multipurpose Societys Sumantai Wasnik College of Nursing (B.Sc.)  Shivpriya Nagar  Dabha  Kha No. 142/1  Nagpur,227892,527885,,,,,,,,,Maharashtra,India,
The East Kalyan Welfare Societys Model College of Science andCommerce East Kalyan Welfare Society Building Chinchpada Road Rajbhar Nagar Katemanivali Kalyan (East) Dist Thane 421 306,227893,527886,,,,,,,,,Maharashtra,India,
UDAY MAHILA SEVA SANSTHA UMRER NAGPUR,227894,527887,,,,,,,,,Maharashtra,India,
SHRI KISANRAO KHOBRAGADE EDUCATION SOCIETY ARMORI GADCHIROLI,227895,527888,,,,,,,,,Maharashtra,India,
RAJMATA JIJAU SHIKSHAN MANDAL'S INSTITUTE OF PHARMACYHAVELI PUNE,227896,527889,,,,,,,,,Maharashtra,India,
VANITA SHAIKSHANIK SOCIAL AND CULTURE TRUST SHAHADA SHAHADA,227897,527890,,,,,,,,,Maharashtra,India,
Jain Vidya Prasarak Mandals Sanghavi Kesari College of Arts Commerce and Science   Chinchwad   Pune 19-,227898,527891,,,,,,,,,Maharashtra,India,
Dnyanoday Prashikshan Sevabhavi Sansthas  Foresight College of Commerce Pune,227899,527892,,,,,,,,,Maharashtra,India,
Mahatma Education Societys Pillais College of Education Chembur Naka Mumbai 400 071,227900,527893,,,,,,,,,Maharashtra,India,
Shri Swaraj Education Societys Swaraj College of Commerce and Computer Studies   Dhankawadi  Pune 43,227901,527894,,,,,,,,,Maharashtra,India,
MGM Trust  Nandeds Mother Teresa College of Nursing (B.Sc.)  Aurangabad,227902,527895,,,,,,,,,Maharashtra,India,
NAVINBHAI SHAH PRATHISTAN SANGAMNER AHMEDNAGAR,227903,527896,,,,,,,,,Maharashtra,India,
SRB College Sakritola,227904,527897,,,,,,,,,Maharashtra,India,
Smt. Maniben M.P. Shah Women's College of Arts and Commerce ,227905,527898,,,,,,,,,Maharashtra,India,
Gyaneshwar Arts College  Pragati Nagar,227906,527899,,,,,,,,,Maharashtra,India,
Bharati Vidyapeeth's New Law College  Rajwada Chowk,227907,527900,,,,,,,,,Maharashtra,India,
Bhimthadi Shikshan Sansthas College of Science and Arts  Pune,227908,527901,,,,,,,,,Maharashtra,India,
K Dr. Haribhau Adamne Arts Commerce College  Saoner,227909,527902,,,,,,,,,Maharashtra,India,
Mahatma Gandhi Mission's Medical College Navi Mumbai,227910,527903,,,,,,,,,Maharashtra,India,
Dhirajlal Talakchand Sankalchand Shah College of Commerce Kurar Village Malad East Mumbai 400 097,227911,527904,,,,,,,,,Maharashtra,India,
Dr Arun Motghare College of Management  Kosra,227912,527905,,,,,,,,,Maharashtra,India,
Sai Shraddha Foundation Gr. Floor Madhukunj Next to Govt. Library Opp. Alibag ST Stand Alibag Dist Raigad,227913,527906,,,,,,,,,Maharashtra,India,
MAEERS's Arts  Science and Commerce College English Medium  Kothrud  Pune 38,227914,527907,,,,,,,,,Maharashtra,India,
LATE ABASAHEB KHEDKAR SHIKSHAN SANSTHA LATE SHOBHATAI AKOT AKOLA,227915,527908,,,,,,,,,Maharashtra,India,
Shahu Raje Adhyapak Mahavidyalaya  Ahemadpur,227916,527909,,,,,,,,,Maharashtra,India,
Vishwashanti Gurukul Teachers Training Academy  B.Ed.College  English Medium  Loni Kalbhor Tal. Haveli  Dist. Pune 412210,227917,527910,,,,,,,,,Maharashtra,India,
220031-NTVS'S INSTITUTE OF BUSINESS MANAGEMENT and RESEARCH  NANDURBAR.,227918,527911,,,,,,,,,Maharashtra,India,
Bahirji Smarak Mahavidyalaya  Vasmat,227919,527912,,,,,,,,,Maharashtra,India,
Mahila Shikshan Shastra Mahavidyalaya  TASGAON,227920,527913,,,,,,,,,Maharashtra,India,
B.P.Hivale Education Societys Centre for Studies in Rural Development Institute of Social Work and Research  Station Road  Ahmednagar 414001,227921,527914,,,,,,,,,Maharashtra,India,
JANKAYAN SANSTHA SHRI MAHADEORAO SHIVAKAR ADHYAPAK GONDIA GONDIA,227922,527915,,,,,,,,,Maharashtra,India,
RANSAMRAT KREEDA MANDAL'S RAJARSHI SHAHU INSTITUE OF TECHNOLOGYPARLI ROAD KALLAM DIST. OSMANABAD.,227923,527916,,,,,,,,,Maharashtra,India,
SHIV SHAHU ADHYAPAK VIDYALAYA TALUKA-GADHINGLAJ KOLHAPUR,227924,527917,,,,,,,,,Maharashtra,India,
Science College  Risod.,227925,527918,,,,,,,,,Maharashtra,India,
Sanjeevani Pratishthans B.Ed.College  Kurund  Tal.Parner  Dist.Ahmednagar,227926,527919,,,,,,,,,Maharashtra,India,
Keshar Vidnyan Mahavidyalaya Paratwada Tq.Achalpur.,227927,527920,,,,,,,,,Maharashtra,India,
ANJUMAN-ISLAM'S ABDUL RAZZAK KALSEKAR POLYTECHNICPANVELNAVI MUMBAI,227928,527921,,,,,,,,,Maharashtra,India,
Group of Institutions College of Pharmacy  A/p. Kashti  Tal. Shrigonda Dist.Ahmednagar,227929,527922,,,,,,,,,Maharashtra,India,
MPES RADIO ELECTRIC INSTITUTE,227930,527923,,,,,,,,,Maharashtra,India,
GURUKUL EDUCATION SOCIETY KHATAV SATARA,227931,527924,,,,,,,,,Maharashtra,India,
Mahavir Mahavidyalaya Bhausingji Road,227932,527925,,,,,,,,,Maharashtra,India,
Sophia College for Women Bhulabhai Desai Road Mumbai 400 026,227933,527926,,,,,,,,,Maharashtra,India,
B.L.PATIL POLYTECHNIC,227934,527927,,,,,,,,,Maharashtra,India,
Bhausaheb Deshpande College of Biotechnology and Bioinformatics  Yogeshwari Nagar.,227935,527928,,,,,,,,,Maharashtra,India,
BALAJI POLYTECHNICSAWARALATAL-WANIYAVATMAL,227936,527929,,,,,,,,,Maharashtra,India,
PDVVPF Ayurved College  Shevgaon,227937,527930,,,,,,,,,Maharashtra,India,
GANESHANAD MAHARAJ PUNEKAR SEVA SANSTHA TAL. KHED PUNE,227938,527931,,,,,,,,,Maharashtra,India,
Jai Bajarang Physical Education College  Akola,227939,527932,,,,,,,,,Maharashtra,India,
Mahatma Phule Education Societys College of Arts and Commerce Night Jerbai Wadia Road Bhoiwada Parel Mumbai 400 012,227940,527933,,,,,,,,,Maharashtra,India,
Gavrabhai Arts College  Jhalia,227941,527934,,,,,,,,,Maharashtra,India,
Haji Jamaluddin Thim Trust College of BHTM BM S and B Sc Computer Science Saibaba Vihar Complex Thane West 400 601,227942,527935,,,,,,,,,Maharashtra,India,
H.V.S.K. Mandal s Adhyapak (B.Ed) Mahavidyalaya  Yavatmal,227943,527936,,,,,,,,,Maharashtra,India,
Govindrao Lunge Physical Education College  Mowad,227944,527937,,,,,,,,,Maharashtra,India,
VIVEKANAND COLLEGE OF AGRI. HIWARA,227945,527938,,,,,,,,,Maharashtra,India,
210107-SSSSP'S SAMARTH SHIKSHANSHASTRA MAHAVIDYALAY  BHADNE  TAL-SAKRI,227946,527939,,,,,,,,,Maharashtra,India,
Smt. Kesharbai Sonajirao Kshirsagar Alias Kaku Arts Science and Commerce College,227947,527940,,,,,,,,,Maharashtra,India,
PRABHAKAR PATIL EDUCATION SOCIETY'S POLYTECHNICRAIGAD,227948,527941,,,,,,,,,Maharashtra,India,
GOVT. JUNIOR COLLEGE OF EDUCATION HINGOLI PARBHANI,227949,527942,,,,,,,,,Maharashtra,India,
Khatun Minority Womens Social Welfare and Educational Societys Royal College of Pharmaceutical Educational and Research  Sachane Khurd  Malegaon  Dist. Nashik 423203,227950,527943,,,,,,,,,Maharashtra,India,
Shri Swami Vivekanand Sevabhavi Sanstha Sanchalit  Dyannvardhani B.C.A.and B.C.S. College  Parli Vaijanath,227951,527944,,,,,,,,,Maharashtra,India,
Arihant Education Foundations Arts Science and Commerce College  Pune,227952,527945,,,,,,,,,Maharashtra,India,
Deep Paramedical Organisations Nett College of Physi.  Owala  P.O. Kasarvadavli  Thane,227953,527946,,,,,,,,,Maharashtra,India,
Sri Sant Gadgebaba Hindi College  Bhusaval,227954,527947,,,,,,,,,Maharashtra,India,
R A Podar College of Commerce and Economics Matunga Mumbai 400 019,227955,527948,,,,,,,,,Maharashtra,India,
R.K. Vidya Prasarak Mandals College of Physical Education Patri Pool Shri Krishna Nagar Kachore Gaon Road Kalyan (East) Kalyan 421 301,227956,527949,,,,,,,,,Maharashtra,India,
LATE VITHOBAJI AMLE ADIWASI SHIKSHAN SANSTHA VITHOBAJI AMLE COLLEGE OF EDUCATION BRAMHAPURI CHANDRAPUR,227957,527950,,,,,,,,,Maharashtra,India,
Vidyavardhinis College of Engineering and Technology Vidyavardhinis College Campus Vasai Road (Western Railway) Dist Thane 401 202,227958,527951,,,,,,,,,Maharashtra,India,
CSMSS Dental College  Paithan Road  Aurangabad,227959,527952,,,,,,,,,Maharashtra,India,
240093-SES'S H.R.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH  SHIRPUR,227960,527953,,,,,,,,,Maharashtra,India,
Anjuman ishate Talim's Milliya Arts and Science College,227961,527954,,,,,,,,,Maharashtra,India,
ABMSPs Yashwantrao Chavan Law College  Pune,227962,527955,,,,,,,,,Maharashtra,India,
K.T.H.M.Arts  Science and Commerce College and Research Centre  Shivajinagar  Nashik 422002,227963,527956,,,,,,,,,Maharashtra,India,
Padmabhushan Dr. Vasantraodada Patil Mahavidyalaya  TASGAON,227964,527957,,,,,,,,,Maharashtra,India,
Baliraja Shikshan Prasarak Mandals Padmashree Shyamraoji Kadam Homoeopathic Medical College  CIDCO  New Nanded,227965,527958,,,,,,,,,Maharashtra,India,
National College of Management  Jhingabai takli,227966,527959,,,,,,,,,Maharashtra,India,
Gurudatta Shikshan Sansthas Shri Dhondu Baliram Pawar College of Management  Manur  Tal. Kalwan  Dist. Nashik,227967,527960,,,,,,,,,Maharashtra,India,
Pravara Rural Education Societys Arts  Commerce and Science College  Alkuti Tal. Parner Dist.Ahmednagar,227968,527961,,,,,,,,,Maharashtra,India,
Pandurang Gramin Vikas Pratishthans Dilip Walse Patil Arts  Commerce and Science College  Nimgaonsava  Tal. Junnar  Dist. Pune 410504.,227969,527962,,,,,,,,,Maharashtra,India,
Arts Science and Commerce College  Naldurg,227970,527963,,,,,,,,,Maharashtra,India,
Mahatma Gandhi Mission's College of Nursing  Aurangabad,227971,527964,,,,,,,,,Maharashtra,India,
SAMARTH SHAIKSHANIK SAMAJIK AND SANSKRUTIK PRATISHTHANs SAMARTH INSTITUTE OF PHARMACY  KAVATHE  SAKRI,227972,527965,,,,,,,,,Maharashtra,India,
Godavari Foundations Dr. Ulhas Patil Medical College and Hospital  Jalgaon Khurd  Tal. and Dist. Jalgaon,227973,527966,,,,,,,,,Maharashtra,India,
Arts   Commerce andScience College   Kiran Nagar   Amravati,227974,527967,,,,,,,,,Maharashtra,India,
Versova Education Trusts Smt Kamala Mehta V W A College of Commerce 7 Bunglows Versova Andheri W Mumbai 400 061,227975,527968,,,,,,,,,Maharashtra,India,
JD College of Engineering  Khandala,227976,527969,,,,,,,,,Maharashtra,India,
SHRADDHA RURAL MEDICAL SOCIAL WELFARE and EDUCATION`S SAHAKAR MAHARSHI KISANRAO VARAL PATIL COLLEGE OF PHARMACY NIGHOJ TAL PARNER AHMEDNAGAR,227977,527970,,,,,,,,,Maharashtra,India,
Bahirji Smarak Senior College  Hatta  Tq. Vasmat,227978,527971,,,,,,,,,Maharashtra,India,
Rural Ayurved Mahavidyalay and Research Centre  Mayani  Tal. Khatav  Dist. Satara.,227979,527972,,,,,,,,,Maharashtra,India,
Bharatiya Gramin Punarrachana Sansthas Institute of Management Degree College Wadala (E) Mumbai,227980,527973,,,,,,,,,Maharashtra,India,
Gramin Shikshan Sansthas College of Arts Science and Commerce Majiwade Dist Thane 400 601,227981,527974,,,,,,,,,Maharashtra,India,
Adarsh Shikshan Sanstha's Women College of Education  Khadakpura Peth.,227982,527975,,,,,,,,,Maharashtra,India,
Late Pundalikrao Tirpude College of Education  Murmadi,227983,527976,,,,,,,,,Maharashtra,India,
Al-Ameen Educational and Medical Foundations Sharadchandraji Pawar College of Education  Pune,227984,527977,,,,,,,,,Maharashtra,India,
Subhadra Education Societys S.N.B.P.College  Yerwada  Pune 6,227985,527978,,,,,,,,,Maharashtra,India,
SRIRAM COLLEGE KURKHEDA,227986,527979,,,,,,,,,Maharashtra,India,
BGP'S Hitech Institute of Technology  MIDC  Waluj.,227987,527980,,,,,,,,,Maharashtra,India,
Marathwada Mitra Mandal's Institute of Technology  Lohgaon  Tal Haveli  Pune 32,227988,527981,,,,,,,,,Maharashtra,India,
Pune Zilha Shikshan Mandals Law College  Kharadi  Pune 14,227989,527982,,,,,,,,,Maharashtra,India,
ABHINAV BAHUUDDESHIYA`S SIDDHIVINAYAK COLLEGE OF PHARMACY CHANDRAPUR,227990,527983,,,,,,,,,Maharashtra,India,
IDEAL COLLEGE OF EDUCATION AMBERNATH THANE,227991,527984,,,,,,,,,Maharashtra,India,
200014-AYKK'S COLLEGE OF PHYSICAL EDUCATION  DHULE.,227992,527985,,,,,,,,,Maharashtra,India,
Mangaon Panchkroshi Shikshan Prasarak Mandals College of Arts Shri Shetra Mangaon Tal Kudal Dist Sindhudurg,227993,527986,,,,,,,,,Maharashtra,India,
Dr Babsaheb Ambedkar Arts Commerce College  Brahmapuri,227994,527987,,,,,,,,,Maharashtra,India,
St. Andrews College of Nursing (B.Sc.)  283  Shukrawarpeth  Wadia Hospi. Campus  Pune,227995,527988,,,,,,,,,Maharashtra,India,
Kopargaon Taluka Vidyarthi Sahayak Samiti Shri.Namdeorao Parjane Law College  Kopargaon  Samudranagar  Tal.Kopargaon Dist.Ahmednagar,227996,527989,,,,,,,,,Maharashtra,India,
Abhay Shikshan Kendras Krantijyoti Savitribai Phule College of Bachelor of Education Kannamwar Nagar No. 1 Vikroli (E) Mumbai 400 083,227997,527990,,,,,,,,,Maharashtra,India,
Tilak Education Society J. K. College of Science and Commerce at Plot No.22 Ghansoli Navi Mumbai 400 705,227998,527991,,,,,,,,,Maharashtra,India,
SHRI ANGARSIDDHA SHIKSHAN PRASARAK MANDAL`S DIPLOMA IN PHARMACY INSTITUTE SANGULWADI TAL-VAIBHAVWADI,227999,527992,,,,,,,,,Maharashtra,India,
250045-DSM'S COLLEGE OF EDUCATION  DONDAICHA  TAL SHINDKHEDA  DHULE,228000,527993,,,,,,,,,Maharashtra,India,
GURUPRASAD EDUCATION SOCIETY MIRAJ SANGLI,228001,527994,,,,,,,,,Maharashtra,India,
Mahatma Phule Adhyapak Mahavidyalaya  Jalkot,228002,527995,,,,,,,,,Maharashtra,India,
DR.PD.PATIL COLLEGE OF COMPUTER SCIENCESandMNGT STUDIES ZARE. TEH-KARMALA DIST. SOLAPUR.,228003,527996,,,,,,,,,Maharashtra,India,
Matoshri Education Society's Matoshri College of Pharmacy  Address: A/p Eklahare  Near Odhagaon  Nashik Taluka: Nashik  District: Nashik,228004,527997,,,,,,,,,Maharashtra,India,
100092-LATE B.R.KOLHE SS'S LALIT KALA MAHAVIDYALAYA  JALGAON.,228005,527998,,,,,,,,,Maharashtra,India,
Vishwasrao Naik Arts  Commerce and Baba Naik Science Mahavidyalaya  Shirala,228006,527999,,,,,,,,,Maharashtra,India,
Kai Ramchandra Udangaonkar Maharaj Washims Late Pandurang Patil Nursing (B.Sc.) College  At/po. Kanheri (Sarap)  Tal. Barshitakli  Dist. Akola,228007,528000,,,,,,,,,Maharashtra,India,
Bhogawati Mahavidyalaya KURUKALI,228008,528001,,,,,,,,,Maharashtra,India,
Government College of Education Ratnagiri Dist. Ratnagiri,228009,528002,,,,,,,,,Maharashtra,India,
100101-GHREFS'S G.H. RAISONI INSTITUTE OF INFORMATION TECHNOLOGY  JALGAON.,228010,528003,,,,,,,,,Maharashtra,India,
Sangam Sevabhavi Trusts Ayurved College  Sanjeevan Hospital  Sangamner Dist. Ahmednagar 422605,228011,528004,,,,,,,,,Maharashtra,India,
Om Vidyalankar Shikshan Sansthas Asmita College of Law Kannamwar Nagasr No.2 Vikhroli (East) Mumbai-400 083,228012,528005,,,,,,,,,Maharashtra,India,
GOVERNMENT POLYTECHNIC AHMEDNAGAR,228013,528006,,,,,,,,,Maharashtra,India,
Geeta Education College  Jaytala,228014,528007,,,,,,,,,Maharashtra,India,
College of Engineering and Technology  Akola.,228015,528008,,,,,,,,,Maharashtra,India,
SAYYAD SADAT EDUCATION SOCIETY SHIROL KOLHAPUR,228016,528009,,,,,,,,,Maharashtra,India,
200009-AYKK'S ARTS MAHILA MAHAVIDYALAYA  DHULE.,228017,528010,,,,,,,,,Maharashtra,India,
Z. V. M. Unani Medical College  Pune,228018,528011,,,,,,,,,Maharashtra,India,
Purna Education College  Khamari,228019,528012,,,,,,,,,Maharashtra,India,
MAHILA VIKAS SANSTHA'S DR. R.G. BHOYAR INSTITUTE OF PHARMACY WARDHA,228020,528013,,,,,,,,,Maharashtra,India,
240080-AVPSS ARTS COLLEGE THALNER TAL-SHIRPUR  DIST-DHULE,228021,528014,,,,,,,,,Maharashtra,India,
The New College Shivaji Peth,228022,528015,,,,,,,,,Maharashtra,India,
Janta Vastigrah Sanstha  Dhanora  Janta Arts  Science and Commerce College  Dhanora.,228023,528016,,,,,,,,,Maharashtra,India,
PALLAVI ADHYAPAK VIDYALAYA TRIMURTI CHOWK NAGPUR,228024,528017,,,,,,,,,Maharashtra,India,
YASH BAHUUDESHIYA SHIKSHAN SANSTHA ARJUNI MORGAON GONDIYA,228025,528018,,,,,,,,,Maharashtra,India,
Gokhale Edcuation Societys Sir Dr. M.S.Gosavi College of Commerce  Nashik 422005,228026,528019,,,,,,,,,Maharashtra,India,
SHAHU SHIKSHAN SANSTHA (PANDHARPUR) RAJMATA ADHYAPAK VIDYALAYA VIJAYANAGAR SANGLI,228027,528020,,,,,,,,,Maharashtra,India,
FRIENDS EDUCATION SOCIETY SHAKUNT HARISH D. ED. COLLEGE KENDREWADI BEED,228028,528021,,,,,,,,,Maharashtra,India,
Social Work College   University Road   Infront of SBI Camp Branch   Camp   Amravati.,228029,528022,,,,,,,,,Maharashtra,India,
Marathwada Shikshan Prasarak Mandal's Shiv Chhatrapati Arts  Science and Commerce College,228030,528023,,,,,,,,,Maharashtra,India,
Godavari Foundation's Dr. Varsha Patil Women's College of Home Science,228031,528024,,,,,,,,,Maharashtra,India,
Indira Gandhi Arts Commerce Science  Viroor,228032,528025,,,,,,,,,Maharashtra,India,
College of Agriculture  Latur,228033,528026,,,,,,,,,Maharashtra,India,
Radhakrishna Toshniwal Ayurved Mahavidyalaya  Akola,228034,528027,,,,,,,,,Maharashtra,India,
G.S. Science   Arts And Commerce College   Khamgaon,228035,528028,,,,,,,,,Maharashtra,India,
Lokseva Education Society Arts and Sci. College  Garkheda,228036,528029,,,,,,,,,Maharashtra,India,
Dadasahcb Rameshsingh Rajput B.P.Ed. College  Malkapur.,228037,528030,,,,,,,,,Maharashtra,India,
Late Bhaskarrao Shingne Kala Mahavidyalaya   SakharKherada  Tq- Sindkhed Raja,228038,528031,,,,,,,,,Maharashtra,India,
Arts College  Buldhana,228039,528032,,,,,,,,,Maharashtra,India,
Smt. Kesharbai Lahoti Mahavidyalaya Morshi Road Amravati,228040,528033,,,,,,,,,Maharashtra,India,
Sushiltai College of Management and Science  Goregaon,228041,528034,,,,,,,,,Maharashtra,India,
Devajibhau Buthe Physical Education College,228042,528035,,,,,,,,,Maharashtra,India,
Yavashakti Physical Education Mahavidyalaya   Chikhaldara.,228043,528036,,,,,,,,,Maharashtra,India,
100061-SEandCM'S SHRI GULABRAO DEOKAR COLLEGE OF ENGINEERING  JALGAON.,228044,528037,,,,,,,,,Maharashtra,India,
Channbasweshwar Pharmacy College  Latur,228045,528038,,,,,,,,,Maharashtra,India,
Marathwada Mitra Mandal's Shankarrao Chavhan Law College Address: 302  Deccan Gymkhana Pune 4 Taluka: Haweli (excluding Corporation Area) District: Pune,228046,528039,,,,,,,,,Maharashtra,India,
Shri Sudhir Madhavji Lall Welfare and Educational Trusts The Lords Universal College of Education Daftary Road Opp Jain Temple Malad (E) Mumbai 400 097,228047,528040,,,,,,,,,Maharashtra,India,
Sambhaji Mahavidyalaya  Murud  Tq. Latur,228048,528041,,,,,,,,,Maharashtra,India,
K.K.Wagh Shikshan Sansthas K.K.Wagh College of Education  Amrutdham  Panchwati  Nashik 422003,228049,528042,,,,,,,,,Maharashtra,India,
SRI BALAJI SOCIETY BALAJI INSTITUTE OF MODERN MANAGEMENT,228050,528043,,,,,,,,,Maharashtra,India,
Mumbai Educational Trust Institute of Phamacy Gen. Arun Kumar Vaidya Chowk Bandra Reclamation Bandra (West) Mumbai 400 050,228051,528044,,,,,,,,,Maharashtra,India,
Smt. Shakuntalabai Dhabekar Arts College  Karanja Lad.,228052,528045,,,,,,,,,Maharashtra,India,
Ganpati Arts and Science College  Biloli,228053,528046,,,,,,,,,Maharashtra,India,
Nagaji Maharaj Physical Education College  Reshimbagh,228054,528047,,,,,,,,,Maharashtra,India,
VIMALTAI WOMEN COLLEGE SAOLI,228055,528048,,,,,,,,,Maharashtra,India,
Akole Taluka Education Societys Arts  Commerce and Dadasaheb Rupwate Science College  Akole  Dist.Ahmednagar 422601,228056,528049,,,,,,,,,Maharashtra,India,
S.G.G.S. Inst. of Engineering and Technology  Vishnupuri  Nanded,228057,528050,,,,,,,,,Maharashtra,India,
Jeevan Prabodhini  Vita Sanchalit Jeevan Prabodhini MCA College ,228058,528051,,,,,,,,,Maharashtra,India,
S. S. V. S. SANSTHA ADHYAPAK VIDYALAYA BEED VIDYANAR EAST BEED BEED,228059,528052,,,,,,,,,Maharashtra,India,
Shyamkishor Pashine Arts Commerce Science College  Dasgaon,228060,528053,,,,,,,,,Maharashtra,India,
Sonajirao Kshirsagar Homoeopathy College  Beed,228061,528054,,,,,,,,,Maharashtra,India,
